,filename,width,height,class,xmin,ymin,xmax,ymax
0,0612-06122020111120-0000_frame98.jpg,1280,1024,1,364,626,388,644
1,0612-06122020111120-0000_frame358.jpg,1280,1024,1,559,786,579,813
2,0612-06122020111120-0000_frame55.jpg,1280,1024,1,342,574,363,589
3,0612-06122020111120-0000_frame117.jpg,1280,1024,1,609,812,622,840
5,0612-06122020111120-0000_frame35.jpg,1280,1024,1,360,676,388,692
6,0612-06122020111120-0000_frame115.jpg,1280,1024,1,563,808,579,832
7,0612-06122020111120-0000_frame100.jpg,1280,1024,1,369,644,396,662
8,0612-06122020111120-0000_frame102.jpg,1280,1024,1,379,666,406,684
9,0612-06122020111120-0000_frame19.jpg,1280,1024,1,430,759,455,784
10,0612-06122020111120-0000_frame1.jpg,1280,1024,1,529,803,545,829
11,0612-06122020111120-0000_frame17.jpg,1280,1024,1,443,767,465,792
12,0612-06122020111120-0000_frame27.jpg,1280,1024,1,389,722,417,742
13,0612-06122020111120-0000_frame11.jpg,1280,1024,1,478,786,497,810
14,0612-06122020111120-0000_frame48.jpg,1280,1024,1,338,605,365,620
15,0612-06122020111120-0000_frame46.jpg,1280,1024,1,340,613,366,629
16,0612-06122020111120-0000_frame359.jpg,1280,1024,1,558,785,578,812
17,0612-06122020111120-0000_frame59.jpg,1280,1024,1,339,558,365,575
18,0612-06122020111120-0000_frame92.jpg,1280,1024,1,354,581,379,600
20,0612-06122020111120-0000_frame109.jpg,1280,1024,1,447,751,471,773
21,0612-06122020111120-0000_frame326.jpg,1280,1024,1,636,795,648,822
22,0612-06122020111120-0000_frame331.jpg,1280,1024,1,617,794,628,820
23,0612-06122020111120-0000_frame61.jpg,1280,1024,1,335,563,347,569
24,0612-06122020111120-0000_frame97.jpg,1280,1024,1,361,618,388,636
26,0612-06122020111120-0000_frame34.jpg,1280,1024,1,362,682,388,698
27,0612-06122020111120-0000_frame29.jpg,1280,1024,1,381,712,408,730
28,0612-06122020111120-0000_frame111.jpg,1280,1024,1,479,775,503,797
29,0612-06122020111120-0000_frame69.jpg,1280,1024,1,345,538,369,558
30,0612-06122020111120-0000_frame13.jpg,1280,1024,1,465,779,488,807
31,0612-06122020111120-0000_frame39.jpg,1280,1024,1,349,653,377,668
32,0612-06122020111120-0000_frame330.jpg,1280,1024,1,621,796,633,821
35,0612-06122020111120-0000_frame118.jpg,1280,1024,1,629,817,642,838
36,0612-06122020111120-0000_frame71.jpg,1280,1024,1,347,537,371,556
37,0612-06122020111120-0000_frame356.jpg,1280,1024,1,562,787,579,813
38,0612-06122020111120-0000_frame357.jpg,1280,1024,1,561,788,579,813
39,0612-06122020111120-0000_frame42.jpg,1280,1024,1,343,636,370,651
40,0612-06122020111120-0000_frame327.jpg,1280,1024,1,631,797,644,821
41,0612-06122020111120-0000_frame353.jpg,1280,1024,1,566,787,582,812
42,0612-06122020111120-0000_frame41.jpg,1280,1024,1,345,641,373,657
43,0612-06122020111120-0000_frame44.jpg,1280,1024,1,341,624,369,639
44,0612-06122020111120-0000_frame40.jpg,1280,1024,1,347,648,375,663
45,0612-06122020111120-0000_frame63.jpg,1280,1024,1,342,550,368,566
46,0612-06122020111120-0000_frame324.jpg,1280,1024,1,644,797,657,821
47,0612-06122020111120-0000_frame7.jpg,1280,1024,1,499,795,518,819
48,0612-06122020111120-0000_frame328.jpg,1280,1024,1,629,793,637,817
49,0612-06122020111120-0000_frame83.jpg,1280,1024,1,352,548,374,563
50,0612-06122020111120-0000_frame329.jpg,1280,1024,1,623,795,635,821
51,0612-06122020111120-0000_frame114.jpg,1280,1024,1,539,803,560,827
52,0612-06122020111120-0000_frame91.jpg,1280,1024,1,359,575,379,594
53,0612-06122020111120-0000_frame15.jpg,1280,1024,1,453,775,478,800
54,0612-06122020111120-0000_frame325.jpg,1280,1024,1,640,801,651,818
55,0612-06122020111120-0000_frame43.jpg,1280,1024,1,342,630,370,645
56,0612-06122020111120-0000_frame82.jpg,1280,1024,1,349,543,372,562
57,0612-06122020111120-0000_frame78.jpg,1280,1024,1,350,538,372,556
58,0612-06122020111120-0000_frame103.jpg,1280,1024,1,387,677,413,696
59,0612-06122020111120-0000_frame90.jpg,1280,1024,1,353,570,379,591
60,0612-06122020111120-0000_frame104.jpg,1280,1024,1,393,687,419,707
61,0612-06122020111120-0000_frame47.jpg,1280,1024,1,339,608,365,624
62,0612-06122020111120-0000_frame72.jpg,1280,1024,1,347,536,371,555
63,0612-06122020111120-0000_frame351.jpg,1280,1024,1,568,788,583,815
64,0612-06122020111120-0000_frame106.jpg,1280,1024,1,410,713,437,733
65,0612-06122020111120-0000_frame53.jpg,1280,1024,1,340,581,363,599
66,0612-06122020111120-0000_frame9.jpg,1280,1024,1,488,790,509,817
67,0612-06122020111120-0000_frame119.jpg,1280,1024,1,648,814,665,840
69,0612-06122020111120-0000_frame95.jpg,1280,1024,1,357,601,383,620
70,0612-06122020111120-0000_frame352.jpg,1280,1024,1,567,786,583,815
71,0612-06122020111120-0000_frame105.jpg,1280,1024,1,401,699,428,719
72,0612-06122020111120-0000_frame80.jpg,1280,1024,1,351,541,373,560
73,0612-06122020111120-0000_frame51.jpg,1280,1024,1,341,591,362,609
74,0612-06122020111120-0000_frame350.jpg,1280,1024,1,570,788,586,814
75,0612-06122020111120-0000_frame45.jpg,1280,1024,1,340,619,366,633
76,0612-06122020111120-0000_frame96.jpg,1280,1024,1,359,609,385,627
78,0612-06122020111120-0000_frame89.jpg,1280,1024,1,352,568,375,584
79,0612-06122020111120-0000_frame32.jpg,1280,1024,1,369,694,398,711
80,0612-06122020111120-0000_frame81.jpg,1280,1024,1,351,543,375,562
81,0612-06122020111120-0000_frame31.jpg,1280,1024,1,373,700,400,717
82,0612-06122020111120-0000_frame88.jpg,1280,1024,1,353,564,377,582
84,0612-06122020111120-0000_frame79.jpg,1280,1024,1,350,539,373,557
85,0612-06122020111120-0000_frame94.jpg,1280,1024,1,357,594,380,612
86,0612-06122020111211-0000_frame82.jpg,1280,1024,1,322,586,349,601
87,0612-06122020111211-0000_frame93.jpg,1280,1024,1,328,589,355,602
88,0612-06122020111211-0000_frame74.jpg,1280,1024,1,316,595,349,608
89,0612-06122020111211-0000_frame31.jpg,1280,1024,1,400,744,427,767
90,0612-06122020111211-0000_frame106.jpg,1280,1024,1,342,628,370,643
91,0612-06122020111211-0000_frame65.jpg,1280,1024,1,323,616,351,630
92,0612-06122020111211-0000_frame117.jpg,1280,1024,1,382,702,409,720
93,0612-06122020111211-0000_frame86.jpg,1280,1024,1,324,583,351,597
94,0612-06122020111211-0000_frame100.jpg,1280,1024,1,334,605,362,620
95,0612-06122020111211-0000_frame29.jpg,1280,1024,1,407,752,434,774
96,0612-06122020111211-0000_frame52.jpg,1280,1024,1,337,661,367,677
97,0612-06122020111211-0000_frame68.jpg,1280,1024,1,321,607,351,622
98,0612-06122020111211-0000_frame72.jpg,1280,1024,1,324,600,350,614
99,0612-06122020111211-0000_frame18.jpg,1280,1024,1,460,784,481,807
100,0612-06122020111211-0000_frame0.jpg,1280,1024,1,543,806,559,834
101,0612-06122020111211-0000_frame16.jpg,1280,1024,1,469,788,491,813
102,0612-06122020111211-0000_frame22.jpg,1280,1024,1,444,773,463,795
104,0612-06122020111211-0000_frame42.jpg,1280,1024,1,361,702,388,721
105,0612-06122020111211-0000_frame85.jpg,1280,1024,1,325,583,349,599
106,0612-06122020111211-0000_frame26.jpg,1280,1024,1,421,763,441,785
107,0612-06122020111211-0000_frame40.jpg,1280,1024,1,367,710,394,729
108,0612-06122020111211-0000_frame116.jpg,1280,1024,1,376,693,403,711
109,0612-06122020111211-0000_frame48.jpg,1280,1024,1,345,678,374,694
110,0612-06122020111211-0000_frame81.jpg,1280,1024,1,322,585,351,601
111,0612-06122020111211-0000_frame83.jpg,1280,1024,1,324,584,350,600
112,0612-06122020111211-0000_frame95.jpg,1280,1024,1,334,591,357,605
113,0612-06122020111211-0000_frame115.jpg,1280,1024,1,371,685,399,703
114,0612-06122020111211-0000_frame51.jpg,1280,1024,1,340,666,370,682
115,0612-06122020111211-0000_frame112.jpg,1280,1024,1,357,663,385,679
116,0612-06122020111211-0000_frame49.jpg,1280,1024,1,343,674,372,691
117,0612-06122020111211-0000_frame23.jpg,1280,1024,1,437,771,459,796
118,0612-06122020111211-0000_frame53.jpg,1280,1024,1,335,657,366,674
119,0612-06122020111211-0000_frame12.jpg,1280,1024,1,491,795,510,819
120,0612-06122020111211-0000_frame94.jpg,1280,1024,1,329,590,356,603
121,0612-06122020111211-0000_frame33.jpg,1280,1024,1,391,736,414,758
122,0612-06122020111211-0000_frame84.jpg,1280,1024,1,323,584,352,598
123,0612-06122020111211-0000_frame108.jpg,1280,1024,1,345,639,374,654
124,0612-06122020111211-0000_frame32.jpg,1280,1024,1,395,741,422,762
125,0612-06122020111211-0000_frame27.jpg,1280,1024,1,417,758,442,781
126,0612-06122020111211-0000_frame118.jpg,1280,1024,1,389,711,416,729
127,0612-06122020111211-0000_frame55.jpg,1280,1024,1,333,650,360,666
128,0612-06122020111211-0000_frame107.jpg,1280,1024,1,343,632,372,647
129,0612-06122020111211-0000_frame114.jpg,1280,1024,1,365,677,393,694
130,0612-06122020111211-0000_frame36.jpg,1280,1024,1,381,726,405,745
131,0612-06122020111211-0000_frame123.jpg,1280,1024,1,439,758,461,778
132,0612-06122020111211-0000_frame99.jpg,1280,1024,1,334,600,360,617
133,0612-06122020111211-0000_frame110.jpg,1280,1024,1,351,649,379,665
134,0612-06122020111211-0000_frame35.jpg,1280,1024,1,384,729,412,750
135,0612-06122020111211-0000_frame38.jpg,1280,1024,1,373,717,402,738
136,0612-06122020111211-0000_frame34.jpg,1280,1024,1,389,733,416,754
137,0612-06122020111211-0000_frame50.jpg,1280,1024,1,341,670,370,686
138,0612-06122020111211-0000_frame120.jpg,1280,1024,1,405,728,434,748
139,0612-06122020111211-0000_frame6.jpg,1280,1024,1,518,803,536,829
140,0612-06122020111211-0000_frame62.jpg,1280,1024,1,324,625,354,640
141,0612-06122020111211-0000_frame98.jpg,1280,1024,1,338,596,360,613
142,0612-06122020111211-0000_frame70.jpg,1280,1024,1,321,602,349,616
143,0612-06122020111211-0000_frame14.jpg,1280,1024,1,480,790,502,817
144,0612-06122020111211-0000_frame121.jpg,1280,1024,1,415,738,439,757
146,0612-06122020111211-0000_frame61.jpg,1280,1024,1,325,629,355,643
147,0612-06122020111211-0000_frame57.jpg,1280,1024,1,329,643,359,658
148,0612-06122020111211-0000_frame87.jpg,1280,1024,1,325,584,352,597
149,0612-06122020111211-0000_frame69.jpg,1280,1024,1,321,605,351,620
150,0612-06122020111211-0000_frame88.jpg,1280,1024,1,324,583,353,597
