,frame,label,trackId,x,y,sceneId,metaId
0,frame1.jpg,head,1,537.0,816.0,0612-06122020111120-0000,0
5,frame11.jpg,head,1,487.5,798.0,0612-06122020111120-0000,0
10,frame21.jpg,head,1,433.0,763.0,0612-06122020111120-0000,0
15,frame30.jpg,head,1,391.0,714.0,0612-06122020111120-0000,0
20,frame35.jpg,head,1,374.0,684.0,0612-06122020111120-0000,0
25,frame40.jpg,head,1,361.0,655.5,0612-06122020111120-0000,0
30,frame45.jpg,head,1,353.0,626.0,0612-06122020111120-0000,0
35,frame51.jpg,head,1,351.5,600.0,0612-06122020111120-0000,0
40,frame61.jpg,head,1,341.0,566.0,0612-06122020111120-0000,0
45,frame70.jpg,head,1,358.5,548.0,0612-06122020111120-0000,0
50,frame80.jpg,head,1,362.0,550.5,0612-06122020111120-0000,0
55,frame85.jpg,head,1,362.5,561.5,0612-06122020111120-0000,0
60,frame90.jpg,head,1,366.0,580.5,0612-06122020111120-0000,0
65,frame95.jpg,head,1,370.0,610.5,0612-06122020111120-0000,0
70,frame100.jpg,head,1,382.5,653.0,0612-06122020111120-0000,0
75,frame105.jpg,head,1,414.5,709.0,0612-06122020111120-0000,0
80,frame110.jpg,head,1,474.0,774.0,0612-06122020111120-0000,0
85,frame115.jpg,head,1,571.0,820.0,0612-06122020111120-0000,0
90,frame120.jpg,handle,1,669.5,609.5,0612-06122020111120-0000,0
95,frame320.jpg,handle,1,658.5,588.0,0612-06122020111120-0000,0
100,frame325.jpg,handle,1,650.0,590.0,0612-06122020111120-0000,0
105,frame330.jpg,handle,1,645.0,591.0,0612-06122020111120-0000,0
110,frame335.jpg,handle,1,639.5,592.0,0612-06122020111120-0000,0
115,frame340.jpg,handle,1,636.0,591.5,0612-06122020111120-0000,0
120,frame345.jpg,handle,1,630.5,591.5,0612-06122020111120-0000,0
125,frame350.jpg,head,1,578.0,801.0,0612-06122020111120-0000,0
130,frame355.jpg,head,1,571.5,800.5,0612-06122020111120-0000,0
135,frame1.jpg,middle,1,571.0,711.0,0612-06122020111120-0000,0
140,frame11.jpg,middle,1,542.5,701.0,0612-06122020111120-0000,0
145,frame21.jpg,middle,1,506.0,683.0,0612-06122020111120-0000,0
150,frame30.jpg,middle,1,479.0,651.0,0612-06122020111120-0000,0
155,frame35.jpg,middle,1,468.0,639.0,0612-06122020111120-0000,0
160,frame40.jpg,middle,1,458.0,620.5,0612-06122020111120-0000,0
165,frame45.jpg,middle,1,451.0,605.0,0612-06122020111120-0000,0
170,frame51.jpg,middle,1,447.5,588.0,0612-06122020111120-0000,0
175,frame61.jpg,middle,1,439.0,569.0,0612-06122020111120-0000,0
180,frame70.jpg,middle,1,447.5,558.0,0612-06122020111120-0000,0
185,frame80.jpg,middle,1,452.0,562.5,0612-06122020111120-0000,0
190,frame85.jpg,middle,1,456.5,568.5,0612-06122020111120-0000,0
195,frame90.jpg,middle,1,462.0,582.5,0612-06122020111120-0000,0
200,frame95.jpg,middle,1,469.0,601.5,0612-06122020111120-0000,0
205,frame100.jpg,middle,1,481.5,630.5,0612-06122020111120-0000,0
210,frame105.jpg,middle,1,506.5,664.0,0612-06122020111120-0000,0
215,frame110.jpg,middle,1,553.0,693.0,0612-06122020111120-0000,0
